FILE,LABEL,VALUE
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesAndStockholdersEquity_86388751-ae5a-4767-98ce-2eebb624a6dc
calculation,to,loc_us-gaap_CommitmentsAndContingencies_abe38bfe-a73d-48aa-96e1-9a4212cb7b99
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_StockholdersEquity_c39947a4-0150-46f5-a6c4-f3a86b3fb23d
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_StockholdersEquity
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_CommonStockValue_1a7401fa-fb05-4399-90c5-4ba2ca37a90c
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_CommonStockValue
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_c39947a4-0150-46f5-a6c4-f3a86b3fb23d
calculation,to,loc_us-gaap_CommonStockValue_1a7401fa-fb05-4399-90c5-4ba2ca37a90c
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AdditionalPaidInCapital_c32450c0-4835-4596-8824-391c6f5ba10e
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AdditionalPaidInCapital
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_c39947a4-0150-46f5-a6c4-f3a86b3fb23d
calculation,to,loc_us-gaap_AdditionalPaidInCapital_c32450c0-4835-4596-8824-391c6f5ba10e
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax_8d2c2b66-a307-4307-a39b-e1bb021da360
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_c39947a4-0150-46f5-a6c4-f3a86b3fb23d
calculation,to,loc_us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax_8d2c2b66-a307-4307-a39b-e1bb021da360
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_RetainedEarningsAccumulatedDeficit_6c3edc71-0527-46de-b006-bac55b36181b
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_RetainedEarningsAccumulatedDeficit
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_c39947a4-0150-46f5-a6c4-f3a86b3fb23d
calculation,to,loc_us-gaap_RetainedEarningsAccumulatedDeficit_6c3edc71-0527-46de-b006-bac55b36181b
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AssetsCurrent_bb490367-7134-41ef-a029-3ff34cfea825
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AssetsCurrent
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue_5ff79651-c834-4fc7-a6d0-e991b81901b8
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_CashAndCashEquivalentsAtCarryingValue
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_bb490367-7134-41ef-a029-3ff34cfea825
calculation,to,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue_5ff79651-c834-4fc7-a6d0-e991b81901b8
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent_d283e845-47b9-405e-9270-a3b9fa9089b1
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_bb490367-7134-41ef-a029-3ff34cfea825
calculation,to,loc_us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent_d283e845-47b9-405e-9270-a3b9fa9089b1
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
